# locales: en-US, de-DE, es-ES, fr-FR, it-IT, pl-PL, pt-BR, ru-RU, zh-Hans
# Generated by Scripts/Localization/locale_spreadsheet.py --export-pending
# Only rows with at least one pending (untranslated / commented-stub) cell.
# Fill blanks; re-run --import to write back into the hjson files.
Key	en-US	de-DE	es-ES	fr-FR	it-IT	pl-PL	pt-BR	ru-RU	zh-Hans
Messages.NoProtectedPositions	No protected positions in selection.		No hay posiciones protegidas en la selección.	Aucune position protégée dans la sélection.					
Messages.ClearedProtection	Cleared all protection ({0} tiles, {1} walls).		Se desprotegió todo ({0} bloques, {1} paredes).	Toute protection a été retirée ({0} blocs, {1} murs).					
Messages.ClearConfirmPrompt	Click again to clear {0} tile(s) and {1} wall(s).		Haz clic de nuevo para desproteger {0} bloque(s) y {1} pared(es).	Cliquez à nouveau pour déprotéger {0} bloc(s) et {1} mur(s).					
Messages.Undone	Undone: {0} ({1} tiles)		retirado: {0} ({1} bloques)	Annulé : {0} ({1} blocs)					
Messages.CoatingNoChanges	No changes made.		No se realizaron cambios.						
Messages.CoatingPaintedTiles	Painted {0} tiles.		Se pintaron {0} bloques.						
Messages.CoatingPaintedWalls	Painted {0} walls.		Se pintaron {0} paredes.						
Messages.CoatingScrapedPaint	Scraped paint from {0} positions.		Se raspó la pintura de {0} posiciones.						
Messages.CoatingScrapedMoss	Removed moss from {0} tiles.		Se eliminó musgo de {0} bloques.						
Messages.CoatingHarvestedMoss	Harvested moss from {0} tiles.		Se recolectó musgo de {0} bloques.						
Messages.NoTilesInSelection	No tiles in selection area.		No hay bloques en el área de selección.						
Messages.DelimitationFilterActive	No action executed. Delimitation Area is active and does not overlap with the selection.		No se ejecutó ninguna acción. El Área de Delimitación está activa y no se superpone con la selección.						
Messages.FluidsNoTiles	No tiles in selection.		No hay bloques en la selección.						
Messages.FluidsInvalidRegion	Invalid region.		Región no válida.						
Messages.FluidsNoSeeds	No valid seed positions — all top tiles are solid.		No hay posiciones válidas de semilla — todos los bloques superiores son sólidos.						
Messages.FluidsNoBasins	No basins found — liquid cannot settle in this terrain.		No se encontraron cuencas — el líquido no puede asentarse en este terreno.						
Messages.FluidsNoPockets	No enclosed pockets found in this terrain.		No se encontraron cavidades cerradas en este terreno.						
Messages.FluidsFilled	Filled {0} tiles with {1}.		Se rellenaron {0} bloques con {1}.						
Messages.FluidsRainFilled	Rain Fill: {0} tiles filled ({1} columns seeded, {2} basins analyzed).		Relleno por Lluvia: {0} bloques rellenados ({1} columnas sembradas, {2} cuencas analizadas).						
Messages.FluidsPocketFilled	Pocket Fill: {0} tiles filled ({1} pocket cells analyzed).		Relleno de Cavidades: {0} bloques rellenados ({1} celdas de cavidad analizadas).						
Messages.FluidsDrained	Drained {0} tiles.		Se drenaron {0} bloques.						
Messages.FluidsBubblePlaced	Placed {0} bubble blocks.		Se colocaron {0} bloques de burbuja.						
Messages.FluidsBubbleRemoved	Removed {0} bubble blocks.		Se eliminaron {0} bloques de burbuja.						
Messages.FluidsBubbleCoated	Coated selection with {0} bubble blocks.		Se recubrió la selección con {0} bloques de burbuja.						
Messages.FluidsMixed	Mixed {0} tiles into blocks + filled {1} tiles with {2}.		Se mezclaron {0} bloques + se rellenaron {1} bloques con {2}.						
Messages.FluidsMixedOnly	Mixed {0} tiles into blocks.		Se mezclaron {0} bloques.						
Messages.TorchesNoTorchItem	No torch found in inventory.		No se encontró antorcha en el inventario.						
Messages.TorchesNoValidPositions	No valid torch positions in selection.		No hay posiciones válidas para antorchas en la selección.						
Messages.TorchesNonePlaced	No torches could be placed.		No se pudieron colocar antorchas.						
Messages.TorchesPlaced	Placed {0} torches.		Se colocaron {0} antorchas.						
Messages.TorchesNoneReplaced	No torches were replaced.		No se reemplazaron antorchas.						
Messages.TorchesReplaced	Replaced {0} torches.		Se reemplazaron {0} antorchas.						
Messages.TorchesNoneRemoved	No torches found to remove.		No se encontraron antorchas para eliminar.						
Messages.TorchesRemoved	Removed {0} torches.		Se eliminaron {0} antorchas.						
Messages.TorchesNoneConverted	No torches to convert (already biome-matched).		No hay antorchas para convertir (ya coinciden con el bioma).						
Messages.TorchesConverted	Converted {0} torches to biome variant.		Se convirtieron {0} antorchas a la variante del bioma.						
Messages.SelectStartClickEnd	Selection started. Click to set end point.		Selección iniciada. Haz clic para establecer el punto final.	Sélection démarrée. Cliquez pour définir le point final.					
Messages.SelectStartClickAgain	Selection started. Click again to {0}.		Selección iniciada. Haz clic de nuevo para {0}.	Sélection démarrée. Cliquez à nouveau pour {0}.					
Messages.ClickToConfirm	Click again to confirm.		Haz clic de nuevo para confirmar.	Cliquez à nouveau pour confirmer.					
Messages.ClickToConfirmOrCancel	Click again to confirm, or right-click to cancel.		Haz clic de nuevo para confirmar, o clic derecho para cancelar.	Cliquez à nouveau pour confirmer, ou clic droit pour annuler.					
Messages.EndPointSet	End point set. Click again to confirm.		Punto final establecido. Haz clic de nuevo para confirmar.	Point final défini. Cliquez à nouveau pour confirmer.					
Messages.StampClickEnd	Stamp: click to set end point.		Sello: haz clic para establecer el punto final.	Tampon : cliquez pour définir le point final.					
Messages.StampClickLock	Stamp: click to lock anchor position.		Sello: haz clic para fijar la posición de anclaje.	Tampon : cliquez pour fixer la position de l'ancrage.					
Messages.StampLocked	Stamp locked! Click to {0}. Right-click to reset.		¡Sello establecido! Haz clic para {0}. Clic derecho para reiniciar.	Tampon défini ! Cliquez pour {0}. Clic droit pour réinitialiser.					
Messages.SuppressDropsOn	Suppress Drops: ON — tile drops are suppressed.		Suprimir Objetos Recogibles: ACTIVADO — los objetos recogibles están suprimidos.						
Messages.SuppressDropsOff	Suppress Drops: OFF — tile drops are enabled.		Suprimir Objetos Recogibles: DESACTIVADO — los objetos recogibles están activados.						
Messages.SelectClickEnd	Selection: click to set end point.		Selección: haz clic para establecer el punto final.						
Messages.SelectClickConfirm	Selection: click to confirm and apply.		Selección: haz clic para confirmar y aplicar.						
Messages.NoTilesInShape	No tiles in shape.		No hay bloques en la forma.						
Messages.MoldingHintTooFar	No cells added — canvas is far away. Use 'Teleport to Player' in the Molding panel to bring it closer.		No se añadieron celdas — el canvas está lejos. Usa 'Teletransportar al Jugador' en el panel de Moldeo para acercarlo.						
Messages.MoldingHintExpandCanvas	No cells added — shape is outside the canvas. Switch to Canvas Edit mode to expand the canvas first.		No se añadieron celdas — la forma está fuera del canvas. Cambia al modo Editar Canvas para expandir el canvas primero.						
Messages.MoldingNoChange	Mold: no change (tiles already match the current selection).		Molde: sin cambios (los bloques ya coinciden con la selección actual).						
Messages.LoreCommon	The Gods of Space let you enact your thoughts into reality.		Los Dioses del Espacio te permiten convertir tus pensamientos en realidad.						
Messages.LoreBuilding	The Deity of Creation lets you manifest order and existence at will.		La Deidad de la Creación te permite manifestar orden y existencia a voluntad.						
Messages.LoreDismantling	The Deity of Erasure lets you restore nothingness as you wish.		La Deidad de la Eliminación te permite restaurar la nada a tu antojo.						
Messages.LoreReplacement	The Deity of Transmutation lets you reweave the threads of what already is.		La Deidad de la Transmutación te permite retejer los hilos de lo que ya existe.						
Messages.LoreWiring	An advanced mechanism wrench, refined beyond the Grand Design. Where gods shape matter, engineers shape purpose.		Una llave mecánica avanzada, refinada más allá del Gran Diseño. Donde los dioses moldean la materia, los ingenieros moldean el propósito.						
Messages.LoreSafekeeping	The Deity of Timelessness lets you separate space from the powers of creation.		La Deidad de la Eternidad te permite separar el espacio de los poderes de la creación.						
Messages.LoreCoating	The Deity of Chromas lets you dress the world in colours of your choosing.		La Deidad de los Colores te permite vestir el mundo con los colores que elijas.						
Messages.LoreFluids	The Deity of Tides lets you command the flowing matter.		La Deidad de las Mareas te permite comandar la materia fluida.						
Messages.LoreTorches	The Torch God lets you spread light across the world with ease. Or awaken their wrath if you dare.		El Dios de las Antorchas te permite esparcir luz por el mundo con facilidad. O despertar su ira si te atreves.						
Messages.LoreDelimitation	The Architect of Boundaries lets you define the canvas of creation.		El Arquitecto de los Límites te permite definir el canvas de la creación.						
Messages.LoreMolding	The Sculptor of Forms lets you mold the blueprints of creation.		El Escultor de Formas te permite moldear los planos de la creación.						
Messages.LoreShiftHint	"[c/888888:Hold [Shift] for lore]"		"[c/888888:Mantén [Shift] para ver la historia]"						
Messages.TorchWheelModeTiles	"[c/FFFF00:Mode: Tiles]"		"[c/FFFF00:Modo: Bloques]"						
Messages.TorchWheelModePlatforms	"[c/ADD8E6:Mode: Platforms]"		"[c/ADD8E6:Modo: Plataformas]"						
Messages.TorchWheelCycleHint	Right-click in inventory to cycle modes		Clic derecho en el inventario para cambiar de modo						
Messages.TorchWheelKillHint	Shift + Right-click (held) to kill all projectiles		Shift + Clic derecho (mantenido) para eliminar todos los proyectiles						
Messages.TorchWheelSwitchToTiles	Torch Wheel Mode: Tiles		Modo Rueda de Antorchas: Bloques						
Messages.TorchWheelSwitchToPlatforms	Torch Wheel Mode: Platforms		Modo Rueda de Antorchas: Plataformas						
GameTips.VacuumItems	WSW: Don't like picking up items? Activate 'vacuum items' in the config.		WSW: ¿Cansado de recoger objetos? Activa 'aspirar objetos' en la configuración.	WSW: Marre de ramasser les objets ? Activez 'aspirer les objets' dans la configuration.					
GameTips.IceBiomeReplacement	WSW: The Ice Biome got corrupted? Use the Wand of Replacement to swap them for snow. It's immune!		WSW: ¿El Bioma de Hielo se corrompió? Usa la Varita de Reemplazo para cambiarlos por nieve. ¡Es inmune!	WSW: Le Biome de Glace a été corrompu ? Utilisez la Baguette de Remplacement pour les échanger contre de la neige. C'est immunisé !					
GameTips.GitHubContributions	WSW: Got any bugs? Ideas? Feedback or Art? Check the github repo! Contributions are very welcome.		WSW: ¿Tienes algún bug? ¿Ideas? ¿Feedback o Arte? ¡Revisa el repositorio de github! Las contribuciones son muy bienvenidas.	WSW: Vous avez des bugs ? Des idées ? Des retours ou de l'art ? Consultez le dépôt github ! Les contributions sont les bienvenues.					
